Domain,Skills
1,html redux reactjs bootstrap
1,html java bootstrap mysql reactjs sql c
1,html redux bootstrap reactjs sass
1,html sql bootstrap css reactjs nodejs
1,java html javascript bootstrap mysql mongodb reactjs nodejs c aws/azure
1,html java redux bootstrap mongodb reactjs
1,html reactjs bootstrap
1,javascript bootstrap nodejs reactjs sql
1,html redux bootstrap reactjs sass
1,html java redux xml bootstrap reactjs nodejs
1,html java bootstrap reactjs xhtml sass
1,html reactjs bootstrap
1,html bootstrap mysql reactjs nestjs
1,html redux java bootstrap reactjs
1,html bootstrap xampp mysql php reactjs nodejs
1,html redux bootstrap mysql mongodb reactjs nodejs
1,aws html java xml css reactjs
1,html redux reactjs bootstrap
1,html redux bootstrap reactjs sass
1,html redux reactjs bootstrap
0,fscm ansible hcm weblogic tuxedo peoplesoft oracle docker
0,fscm hcm weblogic java tuxedo peoplesoft oracle
0,sqr ms-sql fscm hcm weblogic tuxedo sql peoplesoft oracle
0,hcm putty toad sql peoplesoft oracle
0,sqr fscm putty sql peoplesoft
0,fscm hcm weblogic java toad tuxedo sql peoplesoft oracle
0,sqr fscm hcm weblogic tuxedo sql peoplesoft oracle
0,fscm hcm weblogic tuxedo peoplesoft oracle
0,fscm hcm tuxedo peoplesoft oracle
0,fscm hcm weblogic tuxedo sql peoplesoft oracle
0,fscm hcm weblogic tuxedo peoplesoft oracle
0,sqr fscm hcm sql peoplesoft oracle
0,sqr hcm sql peoplesoft oracle
0,sqr peoplesoft fscm oracle
0,fscm hcm sql peoplesoft oracle
0,fscm hcm sql peoplesoft oracle
0,peoplesoft fscm oracle sql
0,peoplesoft fscm
0,peoplesoft fscm oracle sql
0,peoplesoft fscm java sql
2,workday-hcm eib picof sql peoplesoft ccw xslt
2,workday-hcm birt eib picof xslt
2,workday-hcm birt eib peoplesoft xslt
2,workday-hcm eib sql peoplesoft ccw xslt
2,workday-hcm eib
2,workday-hcm birt eib picof xslt
2,workday-hcm birt eib xslt
2,workday-hcm eib
2,workday-hcm eib picof sql ccw xslt
2,workday-hcm birt eib picof peoplesoft xslt
2,workday-hcm birt eib peoplesoft xslt
2,workday-hcm eib
2,workday-hcm birt eib xslt
2,workday-hcm birt eib picof peoplesoft ccw xslt
2,workday-hcm eib sql peoplesoft xslt
2,workday-hcm eib picof ccw xslt
2,workday-hcm eib picof ccw xslt
2,workday-hcm birt eib picof ccw xslt
2,workday-hcm eib picof sql peoplesoft xslt
2,workday-hcm birt eib picof peoplesoft ccw xslt
2,peoplesoft workday-hcm eib xslt
3,excel etl ssrs sql bi
3,excel etl Programming_Lang AWS-Redshift hive sql tableau
3,hive sql etl putty
3,ssrs etl sql
3,excel etl ssrs sql bi
3,etl sql
3,etl sql
3,excel etl sql
3,excel etl sql
3,etl sql
3,etl Programming_Lang AWS-Redshift teradata sql bi
3,bids excel etl bcp ssrs sql bi
3,excel sql
3,ssrs etl bi sql
